nthreads,test,routine,MFLOPS
1,xcl1,nrm2,13593.55
1,xcl1,amax,5162.27
1,xcl1,asum,8904.40
1,xcl1,axpy,6624.26
1,xcl1,copy,1960.23
1,xcl1,swap,3066.63
1,xcl1,dotc,8430.53
1,xcl1,dotu,8289.55
1,xzl1,nrm2,6534.87
1,xzl1,amax,2340.68
1,xzl1,asum,3732.20
1,xzl1,axpy,3204.93
1,xzl1,copy,909.18
1,xzl1,swap,1491.25
1,xzl1,dotc,3907.15
1,xzl1,dotu,3890.11
1,xdl1,nrm2,3633.30
1,xdl1,amax,2873.53
1,xdl1,asum,4969.67
1,xdl1,axpy,1785.66
1,xdl1,copy,925.18
1,xdl1,swap,1530.01
1,xdl1,dot,2239.17
1,xdl1,rotm,4039.76
1,xsl1,nrm2,7117.11
1,xsl1,amax,7549.60
1,xsl1,asum,11776.96
1,xsl1,axpy,4011.13
1,xsl1,copy,2087.20
1,xsl1,swap,3417.35
1,xsl1,dot,5247.83
1,xsl1,rotm,6780.81
1,xsl1,dsdot,4883.56
1,xsl1,sdsdot,4887.61
1,xcl2,gbmv,2623.01
1,xcl2,gemv,13003.50
1,xcl2,hbmv,1359.31
1,xcl2,hpmv,20778.43
1,xcl2,hemv,19285.71
1,xcl2,tbmv,1704.35
1,xcl2,tpmv,13864.48
1,xcl2,trmv,11988.40
1,xcl2,tbsv,1073.46
1,xcl2,tpsv,14535.43
1,xcl2,trsv,12956.87
1,xcl2,gerc,11163.13
1,xcl2,geru,11170.50
1,xcl2,ger2c,11172.05
1,xcl2,ger2u,11172.48
1,xcl2,hpr,12157.62
1,xcl2,her,10825.37
1,xcl2,hpr2,18415.15
1,xcl2,her2,16651.42
1,xzl2,gbmv,2394.52
1,xzl2,gemv,6182.28
1,xzl2,hbmv,1693.22
1,xzl2,hpmv,10518.25
1,xzl2,hemv,10521.48
1,xzl2,tbmv,1829.48
1,xzl2,tpmv,6572.93
1,xzl2,trmv,5874.43
1,xzl2,tbsv,956.15
1,xzl2,tpsv,6689.12
1,xzl2,trsv,6160.53
1,xdl2,gbmv,751.96
1,xdl2,gemv,3306.01
1,xdl2,sbmv,558.28
1,xdl2,spmv,5561.76
1,xdl2,symv,6500.81
1,xdl2,tbmv,471.97
1,xdl2,tpmv,3756.51
1,xdl2,trmv,3143.08
1,xdl2,tbsv,412.42
1,xdl2,tpsv,3864.00
1,xdl2,trsv,3453.35
1,xdl2,ger,2936.93
1,xdl2,ger2,2935.87
1,xdl2,spr,3137.73
1,xdl2,syr,2850.85
1,xdl2,spr2,4815.48
1,xdl2,syr2,4454.73
1,xsl2,gbmv,849.13
1,xsl2,gemv,6953.61
1,xsl2,sbmv,769.02
1,xsl2,spmv,11710.67
1,xsl2,symv,12518.47
1,xsl2,tbmv,482.55
1,xsl2,tpmv,8359.30
1,xsl2,trmv,6176.41
1,xsl2,tbsv,417.51
1,xsl2,tpsv,8598.17
1,xsl2,trsv,7047.63
1,xsl2,ger,5696.05
1,xsl2,ger2,5677.70
1,xsl2,spr,6551.50
1,xsl2,syr,5436.31
1,xsl2,spr2,10364.15
1,xsl2,syr2,8712.41
1,xcl3,gemm,185422.77
1,xcl3,hemm,180803.31
1,xcl3,herk,163688.20
1,xcl3,her2k,170901.12
1,xcl3,symm,181122.82
1,xcl3,syr2k,167656.90
1,xcl3,syrk,166348.78
1,xcl3,trmm,121776.42
1,xcl3,trsm,89806.42
1,xzl3,gemm,85062.58
1,xzl3,hemm,80575.73
1,xzl3,herk,76161.13
1,xzl3,her2k,77598.35
1,xzl3,symm,86370.97
1,xzl3,syr2k,76960.87
1,xzl3,syrk,73747.40
1,xzl3,trmm,60930.00
1,xzl3,trsm,58010.38
1,xdl3,gemm,84884.13
1,xdl3,symm,69823.55
1,xdl3,syrk,62559.81
1,xdl3,syr2k,68483.31
1,xdl3,trmm,69370.80
1,xdl3,trsm,24835.66
1,xsl3,gemm,160732.92
1,xsl3,symm,128022.13
1,xsl3,syrk,118706.63
1,xsl3,syr2k,141764.35
1,xsl3,trmm,133426.23
1,xsl3,trsm,54627.43
2,xcl1,nrm2,13388.21
2,xcl1,amax,5265.50
2,xcl1,asum,8905.02
2,xcl1,axpy,12451.16
2,xcl1,copy,1917.65
2,xcl1,swap,3074.06
2,xcl1,dotc,8619.01
2,xcl1,dotu,8545.93
2,xzl1,nrm2,6579.80
2,xzl1,amax,2343.72
2,xzl1,asum,3740.28
2,xzl1,axpy,6092.86
2,xzl1,copy,916.61
2,xzl1,swap,1499.20
2,xzl1,dotc,6969.13
2,xzl1,dotu,6961.15
2,xdl1,nrm2,3529.73
2,xdl1,amax,2854.45
2,xdl1,asum,4957.00
2,xdl1,axpy,3233.48
2,xdl1,copy,926.23
2,xdl1,swap,1541.52
2,xdl1,dot,3815.57
2,xdl1,rotm,4053.50
2,xsl1,nrm2,7033.42
2,xsl1,amax,7666.81
2,xsl1,asum,11907.37
2,xsl1,axpy,6916.90
2,xsl1,copy,2124.45
2,xsl1,swap,3398.61
2,xsl1,dot,5187.47
2,xsl1,rotm,6722.22
2,xsl1,dsdot,4761.91
2,xsl1,sdsdot,4743.78
2,xcl2,gbmv,3088.77
2,xcl2,gemv,24518.30
2,xcl2,hbmv,1362.01
2,xcl2,hpmv,36996.66
2,xcl2,hemv,36974.82
2,xcl2,tbmv,1986.40
2,xcl2,tpmv,24497.61
2,xcl2,trmv,22445.26
2,xcl2,tbsv,1072.21
2,xcl2,tpsv,14343.55
2,xcl2,trsv,13156.18
2,xcl2,gerc,21323.68
2,xcl2,geru,21173.83
2,xcl2,ger2c,21305.56
2,xcl2,ger2u,21239.86
2,xcl2,hpr,21730.31
2,xcl2,her,19875.81
2,xcl2,hpr2,33764.76
2,xcl2,her2,31870.48
2,xzl2,gbmv,2169.63
2,xzl2,gemv,12083.97
2,xzl2,hbmv,1695.40
2,xzl2,hpmv,19523.67
2,xzl2,hemv,20505.08
2,xzl2,tbmv,1478.65
2,xzl2,tpmv,12420.35
2,xzl2,trmv,11468.41
2,xzl2,tbsv,1065.00
2,xzl2,tpsv,6810.73
2,xzl2,trsv,6213.50
2,xdl2,gbmv,922.26
2,xdl2,gemv,6294.60
2,xdl2,sbmv,580.12
2,xdl2,spmv,5692.85
2,xdl2,symv,12350.88
2,xdl2,tbmv,480.07
2,xdl2,tpmv,6360.82
2,xdl2,trmv,5811.08
2,xdl2,tbsv,410.52
2,xdl2,tpsv,3911.47
2,xdl2,trsv,3484.53
2,xdl2,ger,5411.62
2,xdl2,ger2,5518.91
2,xdl2,spr,5581.45
2,xdl2,syr,5218.33
2,xdl2,spr2,8771.25
2,xdl2,syr2,8361.13
2,xsl2,gbmv,1044.36
2,xsl2,gemv,12908.53
2,xsl2,sbmv,769.07
2,xsl2,spmv,12178.62
2,xsl2,symv,23101.70
2,xsl2,tbmv,584.03
2,xsl2,tpmv,13911.58
2,xsl2,trmv,11247.58
2,xsl2,tbsv,421.77
2,xsl2,tpsv,8625.23
2,xsl2,trsv,7052.98
2,xsl2,ger,10596.40
2,xsl2,ger2,10631.92
2,xsl2,spr,11535.62
2,xsl2,syr,9910.26
2,xsl2,spr2,17941.00
2,xsl2,syr2,16010.98
2,xcl3,gemm,344192.26
2,xcl3,hemm,323973.21
2,xcl3,herk,260772.55
2,xcl3,her2k,291718.96
2,xcl3,symm,318192.66
2,xcl3,syr2k,294167.06
2,xcl3,syrk,268379.28
2,xcl3,trmm,215820.53
2,xcl3,trsm,163427.48
2,xzl3,gemm,152545.87
2,xzl3,hemm,157277.10
2,xzl3,herk,124354.85
2,xzl3,her2k,144322.48
2,xzl3,symm,164889.85
2,xzl3,syr2k,139737.80
2,xzl3,syrk,121715.28
2,xzl3,trmm,113148.15
2,xzl3,trsm,109573.30
2,xdl3,gemm,140978.73
2,xdl3,symm,125361.22
2,xdl3,syrk,92423.38
2,xdl3,syr2k,115313.50
2,xdl3,trmm,127658.30
2,xdl3,trsm,45916.58
2,xsl3,gemm,265355.05
2,xsl3,symm,211925.12
2,xsl3,syrk,168215.23
2,xsl3,syr2k,218656.90
2,xsl3,trmm,206258.31
2,xsl3,trsm,91869.68
3,xcl1,nrm2,13500.02
3,xcl1,amax,5106.42
3,xcl1,asum,8525.02
3,xcl1,axpy,17483.22
3,xcl1,copy,1918.05
3,xcl1,swap,2994.65
3,xcl1,dotc,8525.82
3,xcl1,dotu,8440.98
3,xzl1,nrm2,6523.07
3,xzl1,amax,2343.02
3,xzl1,asum,3752.77
3,xzl1,axpy,8840.27
3,xzl1,copy,915.57
3,xzl1,swap,1493.76
3,xzl1,dotc,9923.26
3,xzl1,dotu,9926.02
3,xdl1,nrm2,3611.52
3,xdl1,amax,2865.26
3,xdl1,asum,4921.68
3,xdl1,axpy,4566.56
3,xdl1,copy,918.13
3,xdl1,swap,1527.46
3,xdl1,dot,5209.33
3,xdl1,rotm,4026.62
3,xsl1,nrm2,7063.65
3,xsl1,amax,7596.58
3,xsl1,asum,11543.03
3,xsl1,axpy,9542.90
3,xsl1,copy,2073.18
3,xsl1,swap,3396.38
3,xsl1,dot,5267.71
3,xsl1,rotm,6747.81
3,xsl1,dsdot,4879.86
3,xsl1,sdsdot,4828.35
3,xcl2,gbmv,3188.83
3,xcl2,gemv,34310.52
3,xcl2,hbmv,1357.72
3,xcl2,hpmv,52701.81
3,xcl2,hemv,52948.60
3,xcl2,tbmv,1773.70
3,xcl2,tpmv,35441.55
3,xcl2,trmv,31277.05
3,xcl2,tbsv,1075.27
3,xcl2,tpsv,14322.50
3,xcl2,trsv,12996.91
3,xcl2,gerc,30030.67
3,xcl2,geru,30070.72
3,xcl2,ger2c,30369.58
3,xcl2,ger2u,30181.07
3,xcl2,hpr,30539.42
3,xcl2,her,28164.07
3,xcl2,hpr2,48168.81
3,xcl2,her2,45945.25
3,xzl2,gbmv,2114.22
3,xzl2,gemv,17387.93
3,xzl2,hbmv,1678.75
3,xzl2,hpmv,27728.48
3,xzl2,hemv,29626.41
3,xzl2,tbmv,1262.61
3,xzl2,tpmv,17791.25
3,xzl2,trmv,16485.62
3,xzl2,tbsv,995.96
3,xzl2,tpsv,6692.50
3,xzl2,trsv,6175.12
3,xdl2,gbmv,928.11
3,xdl2,gemv,8865.90
3,xdl2,sbmv,510.50
3,xdl2,spmv,5529.16
3,xdl2,symv,17530.77
3,xdl2,tbmv,505.62
3,xdl2,tpmv,9040.32
3,xdl2,trmv,8231.60
3,xdl2,tbsv,411.37
3,xdl2,tpsv,3841.81
3,xdl2,trsv,3442.41
3,xdl2,ger,7610.22
3,xdl2,ger2,7726.05
3,xdl2,spr,7617.52
3,xdl2,syr,7233.60
3,xdl2,spr2,12339.65
3,xdl2,syr2,11861.27
3,xsl2,gbmv,1150.75
3,xsl2,gemv,17765.10
3,xsl2,sbmv,708.36
3,xsl2,spmv,11747.80
3,xsl2,symv,32275.77
3,xsl2,tbmv,671.91
3,xsl2,tpmv,19561.87
3,xsl2,trmv,15441.12
3,xsl2,tbsv,424.38
3,xsl2,tpsv,8379.71
3,xsl2,trsv,6954.10
