nthreads,test,routine,MFLOPS
1,xcl1,nrm2,2837.01
1,xcl1,amax,1588.92
1,xcl1,asum,1769.75
1,xcl1,axpy,6835.68
1,xcl1,copy,1956.96
1,xcl1,swap,3131.31
1,xcl1,dotc,7605.05
1,xcl1,dotu,7519.21
1,xzl1,nrm2,2584.67
1,xzl1,amax,1501.06
1,xzl1,asum,1680.46
1,xzl1,axpy,3277.63
1,xzl1,copy,919.36
1,xzl1,swap,1530.23
1,xzl1,dotc,3412.50
1,xzl1,dotu,3433.62
1,xdl1,nrm2,562.16
1,xdl1,amax,2156.10
1,xdl1,asum,1626.11
1,xdl1,axpy,1737.62
1,xdl1,copy,918.10
1,xdl1,swap,1570.61
1,xdl1,dot,2078.15
1,xdl1,rotm,4080.25
1,xsl1,nrm2,664.25
1,xsl1,amax,4481.42
1,xsl1,asum,1697.32
1,xsl1,axpy,3839.72
1,xsl1,copy,2054.56
1,xsl1,swap,3492.82
1,xsl1,dot,4775.47
1,xsl1,rotm,6522.48
1,xsl1,dsdot,1757.16
1,xsl1,sdsdot,1762.20
1,xcl2,gbmv,2645.73
1,xcl2,gemv,10349.30
1,xcl2,hbmv,3372.87
1,xcl2,hpmv,4580.82
1,xcl2,hemv,15097.76
1,xcl2,tbmv,2316.96
1,xcl2,tpmv,5818.58
1,xcl2,trmv,9448.87
1,xcl2,tbsv,1078.63
1,xcl2,tpsv,12901.77
1,xcl2,trsv,10181.28
1,xcl2,gerc,7516.61
1,xcl2,geru,7513.43
1,xcl2,ger2c,7489.63
1,xcl2,ger2u,7485.05
1,xcl2,hpr,11457.77
1,xcl2,her,7340.92
1,xcl2,hpr2,20142.96
1,xcl2,her2,11439.07
1,xzl2,gbmv,3043.00
1,xzl2,gemv,5858.62
1,xzl2,hbmv,3386.90
1,xzl2,hpmv,4902.75
1,xzl2,hemv,9557.61
1,xzl2,tbmv,2535.87
1,xzl2,tpmv,4935.58
1,xzl2,trmv,5514.61
1,xzl2,tbsv,964.70
1,xzl2,tpsv,6262.10
1,xzl2,trsv,5816.60
1,xdl2,gbmv,971.97
1,xdl2,gemv,3487.55
1,xdl2,sbmv,1460.75
1,xdl2,spmv,3197.67
1,xdl2,symv,5052.05
1,xdl2,tbmv,611.43
1,xdl2,tpmv,3425.83
1,xdl2,trmv,3364.48
1,xdl2,tbsv,380.95
1,xdl2,tpsv,3719.42
1,xdl2,trsv,3540.10
1,xdl2,ger,2838.88
1,xdl2,ger2,2854.65
1,xdl2,spr,3095.71
1,xdl2,syr,2812.05
1,xdl2,spr2,5785.42
1,xdl2,syr2,5311.97
1,xsl2,gbmv,979.42
1,xsl2,gemv,7172.22
1,xsl2,sbmv,1542.48
1,xsl2,spmv,3543.96
1,xsl2,symv,6057.92
1,xsl2,tbmv,530.01
1,xsl2,tpmv,6914.93
1,xsl2,trmv,6693.23
1,xsl2,tbsv,427.50
1,xsl2,tpsv,7726.85
1,xsl2,trsv,7419.81
1,xsl2,ger,5539.96
1,xsl2,ger2,5589.60
1,xsl2,spr,6447.65
1,xsl2,syr,5306.58
1,xsl2,spr2,11927.01
1,xsl2,syr2,9933.71
1,xcl3,gemm,157418.83
1,xcl3,hemm,160160.70
1,xcl3,herk,124704.41
1,xcl3,her2k,130236.85
1,xcl3,symm,151559.32
1,xcl3,syr2k,131195.72
1,xcl3,syrk,126955.70
1,xcl3,trmm,142874.45
1,xcl3,trsm,78888.37
1,xzl3,gemm,82853.83
1,xzl3,hemm,83710.40
1,xzl3,herk,72154.90
1,xzl3,her2k,68413.28
1,xzl3,symm,84133.11
1,xzl3,syr2k,70023.28
1,xzl3,syrk,71784.82
1,xzl3,trmm,76324.13
1,xzl3,trsm,57469.15
1,xdl3,gemm,74152.37
1,xdl3,symm,76252.71
1,xdl3,syrk,60639.76
1,xdl3,syr2k,61702.12
1,xdl3,trmm,64826.43
1,xdl3,trsm,37121.37
1,xsl3,gemm,139950.20
1,xsl3,symm,136685.36
1,xsl3,syrk,108169.67
1,xsl3,syr2k,110773.07
1,xsl3,trmm,114869.82
1,xsl3,trsm,32337.48
2,xcl1,nrm2,2825.01
2,xcl1,amax,1580.47
2,xcl1,asum,1790.48
2,xcl1,axpy,6780.36
2,xcl1,copy,1951.42
2,xcl1,swap,3164.87
2,xcl1,dotc,7510.13
2,xcl1,dotu,7831.53
2,xzl1,nrm2,2638.70
2,xzl1,amax,1508.37
2,xzl1,asum,1683.91
2,xzl1,axpy,3264.96
2,xzl1,copy,916.57
2,xzl1,swap,1529.71
2,xzl1,dotc,3421.92
2,xzl1,dotu,3426.91
2,xdl1,nrm2,554.45
2,xdl1,amax,2191.97
2,xdl1,asum,1604.58
2,xdl1,axpy,1682.12
2,xdl1,copy,920.52
2,xdl1,swap,1577.71
2,xdl1,dot,2094.47
2,xdl1,rotm,4058.75
2,xsl1,nrm2,649.20
2,xsl1,amax,4550.37
2,xsl1,asum,1697.98
2,xsl1,axpy,3767.90
2,xsl1,copy,2028.45
2,xsl1,swap,3469.08
2,xsl1,dot,4773.35
2,xsl1,rotm,6537.43
2,xsl1,dsdot,1767.50
2,xsl1,sdsdot,1759.70
2,xcl2,gbmv,2632.17
2,xcl2,gemv,10434.21
2,xcl2,hbmv,3342.41
2,xcl2,hpmv,4604.23
2,xcl2,hemv,15096.17
2,xcl2,tbmv,2331.00
2,xcl2,tpmv,5814.62
2,xcl2,trmv,9742.11
2,xcl2,tbsv,1059.40
2,xcl2,tpsv,13135.00
2,xcl2,trsv,10241.97
2,xcl2,gerc,7468.03
2,xcl2,geru,7471.06
2,xcl2,ger2c,7509.73
2,xcl2,ger2u,7486.65
2,xcl2,hpr,11338.21
2,xcl2,her,7283.73
2,xcl2,hpr2,19865.11
2,xcl2,her2,11536.35
2,xzl2,gbmv,3132.22
2,xzl2,gemv,5761.77
2,xzl2,hbmv,3365.35
2,xzl2,hpmv,4935.68
2,xzl2,hemv,9582.71
2,xzl2,tbmv,2594.55
2,xzl2,tpmv,4888.76
2,xzl2,trmv,5532.00
2,xzl2,tbsv,985.67
2,xzl2,tpsv,6286.32
2,xzl2,trsv,5688.47
2,xdl2,gbmv,987.07
2,xdl2,gemv,3432.02
2,xdl2,sbmv,1473.22
2,xdl2,spmv,3314.47
2,xdl2,symv,4963.20
2,xdl2,tbmv,624.70
2,xdl2,tpmv,3410.63
2,xdl2,trmv,3274.61
2,xdl2,tbsv,384.10
2,xdl2,tpsv,3607.21
2,xdl2,trsv,3498.25
2,xdl2,ger,2786.30
2,xdl2,ger2,2821.71
2,xdl2,spr,3053.53
2,xdl2,syr,2762.67
2,xdl2,spr2,5647.21
2,xdl2,syr2,5230.43
2,xsl2,gbmv,975.01
2,xsl2,gemv,6997.92
2,xsl2,sbmv,1545.01
2,xsl2,spmv,3524.47
2,xsl2,symv,6103.00
2,xsl2,tbmv,535.16
2,xsl2,tpmv,7064.21
2,xsl2,trmv,6546.36
2,xsl2,tbsv,434.63
