nthreads,test,routine,MFLOPS
1,xcl1,nrm2,2750.72
1,xcl1,amax,1785.21
1,xcl1,asum,1749.65
1,xcl1,axpy,6986.40
1,xcl1,copy,2014.27
1,xcl1,swap,3194.83
1,xcl1,dotc,7771.48
1,xcl1,dotu,7699.81
1,xzl1,nrm2,2699.31
1,xzl1,amax,1266.78
1,xzl1,asum,1621.45
1,xzl1,axpy,3297.47
1,xzl1,copy,913.70
1,xzl1,swap,1533.46
1,xzl1,dotc,3450.13
1,xzl1,dotu,3439.32
1,xdl1,nrm2,599.83
1,xdl1,amax,2199.26
1,xdl1,asum,1534.56
1,xdl1,axpy,1721.25
1,xdl1,copy,1112.98
1,xdl1,swap,1583.40
1,xdl1,dot,2103.91
1,xdl1,rotm,4092.13
1,xsl1,nrm2,721.00
1,xsl1,amax,4497.46
1,xsl1,asum,1741.10
1,xsl1,axpy,3835.28
1,xsl1,copy,2129.52
1,xsl1,swap,3491.51
1,xsl1,dot,4809.28
1,xsl1,rotm,6574.93
1,xsl1,dsdot,1715.80
1,xsl1,sdsdot,1727.78
1,xcl2,gbmv,3006.68
1,xcl2,gemv,10152.58
1,xcl2,hbmv,3530.75
1,xcl2,hpmv,4525.98
1,xcl2,hemv,15107.58
1,xcl2,tbmv,2475.78
1,xcl2,tpmv,5838.68
1,xcl2,trmv,9421.85
1,xcl2,tbsv,1065.20
1,xcl2,tpsv,13018.97
1,xcl2,trsv,9873.81
1,xcl2,gerc,7505.31
1,xcl2,geru,7508.92
1,xcl2,ger2c,7508.71
1,xcl2,ger2u,7515.62
1,xcl2,hpr,11267.11
1,xcl2,her,7336.86
1,xcl2,hpr2,19944.22
1,xcl2,her2,11532.67
1,xzl2,gbmv,2931.17
1,xzl2,gemv,5943.61
1,xzl2,hbmv,3262.41
1,xzl2,hpmv,4796.80
1,xzl2,hemv,9659.96
1,xzl2,tbmv,3141.31
1,xzl2,tpmv,4942.13
1,xzl2,trmv,5612.06
1,xzl2,tbsv,883.87
1,xzl2,tpsv,6296.80
1,xzl2,trsv,5908.16
1,xdl2,gbmv,937.42
1,xdl2,gemv,3513.30
1,xdl2,sbmv,1312.68
1,xdl2,spmv,3272.05
1,xdl2,symv,5036.42
1,xdl2,tbmv,693.73
1,xdl2,tpmv,3519.61
1,xdl2,trmv,3354.91
1,xdl2,tbsv,365.32
1,xdl2,tpsv,3686.42
1,xdl2,trsv,3576.76
1,xdl2,ger,2857.58
1,xdl2,ger2,2862.00
1,xdl2,spr,3093.81
1,xdl2,syr,2798.23
1,xdl2,spr2,5785.91
1,xdl2,syr2,5317.03
1,xsl2,gbmv,1050.60
1,xsl2,gemv,7149.61
1,xsl2,sbmv,1355.83
1,xsl2,spmv,3562.60
1,xsl2,symv,9486.16
1,xsl2,tbmv,640.05
1,xsl2,tpmv,7035.15
1,xsl2,trmv,6661.60
1,xsl2,tbsv,414.45
1,xsl2,tpsv,7913.10
1,xsl2,trsv,7415.46
1,xsl2,ger,5529.23
1,xsl2,ger2,5553.43
1,xsl2,spr,6604.80
1,xsl2,syr,5305.95
1,xsl2,spr2,12068.72
1,xsl2,syr2,9960.43
1,xcl3,gemm,157939.01
1,xcl3,hemm,158581.63
1,xcl3,herk,130963.82
1,xcl3,her2k,131617.00
1,xcl3,symm,157151.58
1,xcl3,syr2k,129556.86
1,xcl3,syrk,127629.23
1,xcl3,trmm,138891.23
1,xcl3,trsm,76723.57
1,xzl3,gemm,84185.93
1,xzl3,hemm,85498.28
1,xzl3,herk,72665.45
1,xzl3,her2k,71473.17
1,xzl3,symm,84112.20
1,xzl3,syr2k,72048.37
1,xzl3,syrk,74450.08
1,xzl3,trmm,75575.33
1,xzl3,trsm,60482.26
1,xdl3,gemm,75051.38
1,xdl3,symm,75017.77
1,xdl3,syrk,61514.05
1,xdl3,syr2k,64927.08
1,xdl3,trmm,64581.75
1,xdl3,trsm,39129.65
1,xsl3,gemm,134801.03
1,xsl3,symm,144558.81
1,xsl3,syrk,103435.32
1,xsl3,syr2k,110949.51
1,xsl3,trmm,112571.26
1,xsl3,trsm,30920.12
2,xcl1,nrm2,2747.91
2,xcl1,amax,1771.82
2,xcl1,asum,1751.96
2,xcl1,axpy,6843.58
2,xcl1,copy,1977.77
2,xcl1,swap,3126.71
2,xcl1,dotc,7592.12
2,xcl1,dotu,7637.98
2,xzl1,nrm2,2693.77
2,xzl1,amax,1254.85
2,xzl1,asum,1601.75
2,xzl1,axpy,3280.70
2,xzl1,copy,914.98
2,xzl1,swap,1530.35
2,xzl1,dotc,3400.95
2,xzl1,dotu,3425.56
2,xdl1,nrm2,594.45
2,xdl1,amax,2136.51
2,xdl1,asum,1505.30
2,xdl1,axpy,1715.18
2,xdl1,copy,1108.22
2,xdl1,swap,1564.40
2,xdl1,dot,2082.43
2,xdl1,rotm,4029.40
2,xsl1,nrm2,714.90
2,xsl1,amax,4500.88
2,xsl1,asum,1712.03
2,xsl1,axpy,3814.95
2,xsl1,copy,2097.87
2,xsl1,swap,3479.61
2,xsl1,dot,4785.18
2,xsl1,rotm,6512.38
2,xsl1,dsdot,1742.50
2,xsl1,sdsdot,1732.80
2,xcl2,gbmv,2925.97
2,xcl2,gemv,10175.61
2,xcl2,hbmv,3558.30
2,xcl2,hpmv,4509.55
2,xcl2,hemv,15202.80
2,xcl2,tbmv,2458.98
2,xcl2,tpmv,5815.28
2,xcl2,trmv,9277.41
2,xcl2,tbsv,1052.37
2,xcl2,tpsv,12909.48
2,xcl2,trsv,9927.28
2,xcl2,gerc,7543.45
2,xcl2,geru,7536.50
2,xcl2,ger2c,7498.46
2,xcl2,ger2u,7554.95
2,xcl2,hpr,11287.71
2,xcl2,her,7336.60
2,xcl2,hpr2,19935.72
2,xcl2,her2,11523.70
2,xzl2,gbmv,3009.87
2,xzl2,gemv,5822.03
2,xzl2,hbmv,3331.47
2,xzl2,hpmv,4771.50
2,xzl2,hemv,9613.12
2,xzl2,tbmv,2929.00
2,xzl2,tpmv,4922.23
2,xzl2,trmv,5535.80
2,xzl2,tbsv,890.58
2,xzl2,tpsv,6253.86
2,xzl2,trsv,5772.27
2,xdl2,gbmv,945.06
2,xdl2,gemv,3436.92
2,xdl2,sbmv,1240.41
2,xdl2,spmv,3231.93
2,xdl2,symv,5059.13
2,xdl2,tbmv,689.32
