jobid,systemname,numlib,error_code,runtime[s],nodes,taskspernode,threadspertask,NLAST,time[s],GFLOPS,GFLOPSpcore
8948211,jurecadc,BLIS/0.8,0,201.0,1,1,1,8000,19.996,50.83425999999999,51.2105
8948216,jurecadc,BLIS/0.8,0,168.0,1,1,64,24000,13.821,1968.1631399999999,31.2563
8948224,jurecadc,BLIS/0.8,0,108.0,1,1,128,24000,7.3686,3725.4143800000006,29.3135
8948245,jurecadc,OpenBLAS/0.3.12,0,206.0,1,1,1,8000,20.423,50.18324,50.1389
8948248,jurecadc,OpenBLAS/0.3.12,0,191.0,1,1,64,24000,15.963,1731.1599999999999,27.0624
8948252,jurecadc,OpenBLAS/0.3.12,0,136.0,1,1,128,24000,9.4773,2890.9963,22.7913
8948227,jurecadc,imkl/2020.4.304,0,210.0,1,1,1,8000,20.804,49.35604,49.2219
8948232,jurecadc,imkl/2020.4.304,0,192.0,1,1,64,24000,16.107,1738.77382,26.82
8948239,jurecadc,imkl/2020.4.304,0,150.0,1,1,128,24000,10.629,2650.88452,20.321

