jobid,systemname,numlib,error_code,runtime[s],nodes,taskspernode,threadspertask,NLAST,time[s],GFLOPS,GFLOPSpcore
3397943,juwels,BLIS/0.8,0,13.0,1,1,1,2048,0.25241,68.0636,68.0636
3397947,juwels,BLIS/0.8,0,299.0,1,1,24,8192,0.8539,1287.6379,53.6516
3397958,juwels,BLIS/0.8,0,263.0,1,1,48,8192,0.5356,2052.8663,42.768
3397974,juwels,OpenBLAS/0.3.12,0,11.0,1,1,1,2048,0.22634,75.9014,75.9014
3397983,juwels,OpenBLAS/0.3.12,0,286.0,1,1,24,8192,0.77184,1424.5328,59.3555
3397988,juwels,OpenBLAS/0.3.12,0,264.0,1,1,48,8192,0.66744,1647.3451,34.3197
3397962,juwels,imkl/2020.4.304,0,12.0,1,1,1,2048,0.24022,71.5173,71.5173
3397966,juwels,imkl/2020.4.304,0,273.0,1,1,24,8192,0.75596,1454.4589,60.6025
3397970,juwels,imkl/2020.4.304,0,251.0,1,1,48,8192,0.45215,2431.7202,50.6608

