jobid,systemname,numlib,error_code,runtime[s],nodes,taskspernode,threadspertask,NLAST,time[s],GFLOPS,GFLOPSpcore
3418330,juwels,BLIS/0.8,0,136.0,1,1,1,8000,13.28,75.69421999999999,77.1107
3418339,juwels,BLIS/0.8,0,139.0,1,1,24,19000,9.8512,1398.3312999999998,58.0217
3418343,juwels,BLIS/0.8,0,180.0,1,1,48,24000,10.686,2502.58886,53.9042
3418364,juwels,OpenBLAS/0.3.12,0,129.0,1,1,1,8000,12.453,80.7164,82.2322
3418365,juwels,OpenBLAS/0.3.12,0,150.0,1,1,24,19000,10.684,1072.9614800000002,53.4989
3418373,juwels,OpenBLAS/0.3.12,0,197.0,1,1,48,24000,12.853,1835.95638,44.8136
3418346,juwels,imkl/2020.4.304,0,132.0,1,1,1,8000,12.832,77.56504000000001,79.7997
3418351,juwels,imkl/2020.4.304,0,125.0,1,1,24,19000,8.6335,1590.26064,66.2051
3418357,juwels,imkl/2020.4.304,0,165.0,1,1,48,24000,9.1166,3086.01368,63.1812

